Data Set 1:Wavelength(nm),Data Set 1:Intensity,Data Set 2:Wavelength(nm),Data Set 2:Intensity,Data Set 3:Wavelength(nm),Data Set 3:Intensity,Data Set 4:Wavelength(nm),Data Set 4:Intensity,Data Set 5:Wavelength(nm),Data Set 5:Intensity,Data Set 6:Wavelength(nm),Data Set 6:Intensity,Data Set 7:Wavelength(nm),Data Set 7:Intensity,Data Set 8:Wavelength(nm),Data Set 8:Intensity,Data Set 9:Wavelength(nm),Data Set 9:Intensity,Data Set 10:Wavelength(nm),Data Set 10:Intensity
380.10000000000002,0.016172147198697896,380.10000000000002,0.016759873858752317,380.10000000000002,0.015968566414892804,380.10000000000002,0.015101218178581418,380.10000000000002,0.015320948093893848,380.10000000000002,0.015870018565143314,380.10000000000002,0.01597657740138857,380.10000000000002,0.015889219501029988,380.10000000000002,0.016333129879708044,380.10000000000002,0.015620660715648127
380.89999999999998,0.015702084551935776,380.89999999999998,0.016474191059908612,380.89999999999998,0.016100811271330843,380.89999999999998,0.015096979561387891,380.89999999999998,0.015162423810855944,380.89999999999998,0.015391054822274784,380.89999999999998,0.015779905563608927,380.89999999999998,0.015908293278400858,380.89999999999998,0.015990649610471083,380.89999999999998,0.015198494443172859
381.60000000000002,0.015367233793647159,381.60000000000002,0.016396200503547721,381.60000000000002,0.015743919703635884,381.60000000000002,0.015125802158303876,381.60000000000002,0.015260759729745768,381.60000000000002,0.015653849088273445,381.60000000000002,0.015440816188126786,381.60000000000002,0.015757398506311304,381.60000000000002,0.015446411162822238,381.60000000000002,0.015269703212024107
382.39999999999998,0.015151912040215999,382.39999999999998,0.015907911802853433,382.39999999999998,0.015905834880428609,382.39999999999998,0.015400464552444412,382.39999999999998,0.014867416054186481,382.39999999999998,0.014872248077787106,382.39999999999998,0.015786687351118569,382.39999999999998,0.016081228859896751,382.39999999999998,0.015344684350177596,382.39999999999998,0.015452811474784466
383.10000000000002,0.01544946296720158,383.10000000000002,0.016011334062375489,383.10000000000002,0.015335317006179903,383.10000000000002,0.015576791027695124,383.10000000000002,0.014720759899290455,383.10000000000002,0.015252875901765809,383.10000000000002,0.015874002865305221,383.10000000000002,0.015698057865601928,383.10000000000002,0.01512512397955291,383.10000000000002,0.015874130023821029
383.89999999999998,0.01550371726727872,383.89999999999998,0.01597657740138857,383.89999999999998,0.015384484965624815,383.89999999999998,0.015441155277502268,383.89999999999998,0.014414731737917821,383.89999999999998,0.014552656341395185,383.89999999999998,0.015483202360062053,383.89999999999998,0.015873536617413933,383.89999999999998,0.015670210150640452,383.89999999999998,0.015659655993828573
384.60000000000002,0.015591032781465373,384.60000000000002,0.016192746878258436,384.60000000000002,0.015331926112425086,384.60000000000002,0.015553902494850079,384.60000000000002,0.014974229207463358,384.60000000000002,0.015163864940701748,384.60000000000002,0.015578995108635757,384.60000000000002,0.015065656180327729,384.60000000000002,0.015769393792968978,384.60000000000002,0.015720692081415358
385.39999999999998,0.015492696862575551,385.39999999999998,0.016417393589515359,385.39999999999998,0.015696447191068386,385.39999999999998,0.015394530488373472,385.39999999999998,0.015097149106075632,385.39999999999998,0.015037554148334648,385.39999999999998,0.015328068970778973,385.39999999999998,0.015191966972694827,385.39999999999998,0.016262768834295498,385.39999999999998,0.015746123784576519
386.10000000000002,0.015472351500046624,386.10000000000002,0.016241914837703351,386.10000000000002,0.015715944830158611,386.10000000000002,0.015919271296932089,386.10000000000002,0.014935233929282908,386.10000000000002,0.015331714181565405,386.10000000000002,0.015952841145104819,386.10000000000002,0.014641794460975053,386.10000000000002,0.016213600874850589,386.10000000000002,0.015476547731068215
386.89999999999998,0.015691911870671309,386.89999999999998,0.016625085831998166,386.89999999999998,0.015753244661461645,386.89999999999998,0.01571836084195892,386.89999999999998,0.014760602900909607,386.89999999999998,0.015596203894441479,386.89999999999998,0.015544238447648837,386.89999999999998,0.015314886871307106,386.89999999999998,0.016287352814017955,386.89999999999998,0.015645244695370583
