Data Set 1:Wavelength(nm),Data Set 1:Intensity,Data Set 2:Wavelength(nm),Data Set 2:Intensity,Data Set 3:Wavelength(nm),Data Set 3:Intensity,Data Set 4:Wavelength(nm),Data Set 4:Intensity,Data Set 5:Wavelength(nm),Data Set 5:Intensity,Data Set 6:Wavelength(nm),Data Set 6:Intensity,Data Set 7:Wavelength(nm),Data Set 7:Intensity,Data Set 8:Wavelength(nm),Data Set 8:Intensity,Data Set 9:Wavelength(nm),Data Set 9:Intensity,Data Set 10:Wavelength(nm),Data Set 10:Intensity,Data Set 11:Wavelength(nm),Data Set 11:Intensity,Data Set 12:Wavelength(nm),Data Set 12:Intensity,Data Set 13:Wavelength(nm),Data Set 13:Intensity,Data Set 14:Wavelength(nm),Data Set 14:Intensity,Data Set 15:Wavelength(nm),Data Set 15:Intensity,Data Set 16:Wavelength(nm),Data Set 16:Intensity,Data Set 17:Wavelength(nm),Data Set 17:Intensity,Data Set 18:Wavelength(nm),Data Set 18:Intensity,Data Set 19:Wavelength(nm),Data Set 19:Intensity,Data Set 20:Wavelength(nm),Data Set 20:Intensity,Data Set 21:Wavelength(nm),Data Set 21:Intensity,Data Set 22:Wavelength(nm),Data Set 22:Intensity,Data Set 23:Wavelength(nm),Data Set 23:Intensity,Data Set 24:Wavelength(nm),Data Set 24:Intensity,Data Set 25:Wavelength(nm),Data Set 25:Intensity,Data Set 26:Wavelength(nm),Data Set 26:Intensity,Data Set 27:Wavelength(nm),Data Set 27:Intensity,Data Set 28:Wavelength(nm),Data Set 28:Intensity,Data Set 29:Wavelength(nm),Data Set 29:Intensity,Data Set 30:Wavelength(nm),Data Set 30:Intensity,Data Set 31:Wavelength(nm),Data Set 31:Intensity,Data Set 32:Wavelength(nm),Data Set 32:Intensity,Data Set 33:Wavelength(nm),Data Set 33:Intensity,Data Set 34:Wavelength(nm),Data Set 34:Intensity,Data Set 35:Wavelength(nm),Data Set 35:Intensity,Data Set 36:Wavelength(nm),Data Set 36:Intensity,Data Set 37:Wavelength(nm),Data Set 37:Intensity,Data Set 38:Wavelength(nm),Data Set 38:Intensity,Data Set 39:Wavelength(nm),Data Set 39:Intensity,Data Set 40:Wavelength(nm),Data Set 40:Intensity,Data Set 41:Wavelength(nm),Data Set 41:Intensity,Data Set 42:Wavelength(nm),Data Set 42:Intensity,Data Set 43:Wavelength(nm),Data Set 43:Intensity,Data Set 44:Wavelength(nm),Data Set 44:Intensity,Data Set 45:Wavelength(nm),Data Set 45:Intensity,Data Set 46:Wavelength(nm),Data Set 46:Intensity,Data Set 47:Wavelength(nm),Data Set 47:Intensity,Data Set 48:Wavelength(nm),Data Set 48:Intensity,Data Set 49:Wavelength(nm),Data Set 49:Intensity,Data Set 50:Wavelength(nm),Data Set 50:Intensity,Data Set 51:Wavelength(nm),Data Set 51:Intensity,Data Set 52:Wavelength(nm),Data Set 52:Intensity,Data Set 53:Wavelength(nm),Data Set 53:Intensity,Data Set 54:Wavelength(nm),Data Set 54:Intensity,Data Set 55:Wavelength(nm),Data Set 55:Intensity,Data Set 56:Wavelength(nm),Data Set 56:Intensity,Data Set 57:Wavelength(nm),Data Set 57:Intensity,Data Set 58:Wavelength(nm),Data Set 58:Intensity,Data Set 59:Wavelength(nm),Data Set 59:Intensity,Data Set 60:Wavelength(nm),Data Set 60:Intensity,Data Set 61:Wavelength(nm),Data Set 61:Intensity,Data Set 62:Wavelength(nm),Data Set 62:Intensity,Data Set 63:Wavelength(nm),Data Set 63:Intensity,Data Set 64:Wavelength(nm),Data Set 64:Intensity
380.10000000000002,0.016172782991276932,380.10000000000002,0.01539393708196638,380.10000000000002,0.015761170875613538,380.10000000000002,0.016130312046997785,380.10000000000002,0.015450268304468351,380.10000000000002,0.015148012512397958,380.10000000000002,0.016747793799750769,380.10000000000002,0.015759390656392255,380.10000000000002,0.015582131685358968,380.10000000000002,0.015884006001881949,380.10000000000002,0.016252257063655549,380.10000000000002,0.016384374761577784,380.10000000000002,0.016415019963886984,380.10000000000002,0.015634775310902571,380.10000000000002,0.015526309096920219,380.10000000000002,0.01629663538567178,380.10000000000002,0.015848910251519546,380.10000000000002,0.016109076574858217,380.10000000000002,0.016308079652094302,380.10000000000002,0.016111238269626918,380.10000000000002,0.015609089290709798,380.10000000000002,0.016420360621550823,380.10000000000002,0.01655934487932657,380.10000000000002,0.016410060781770555,380.10000000000002,0.016651026169222552,380.10000000000002,0.015664403245085324,380.10000000000002,0.016876605376262045,380.10000000000002,0.01712163983621983,380.10000000000002,0.015664276086569517,380.10000000000002,0.016108059306731769,380.10000000000002,0.016578164339665826,380.10000000000002,0.017029449912260627,380.10000000000002,0.016439815874469115,380.10000000000002,0.016072709239337759,380.10000000000002,0.015321456727957072,380.10000000000002,0.014862414485898119,380.10000000000002,0.015979629205767908,380.10000000000002,0.015836830192517991,380.10000000000002,0.015579207039495436,380.10000000000002,0.01590778464433763,380.10000000000002,0.0160911472241296,380.10000000000002,0.015992345057348492,380.10000000000002,0.016257343404287784,380.10000000000002,0.01540932326237888,380.10000000000002,0.015080491340505075,380.10000000000002,0.01552427456066733,380.10000000000002,0.015756211693497117,380.10000000000002,0.016095343455151193,380.10000000000002,0.0160144706390987,380.10000000000002,0.015823478548358385,380.10000000000002,0.015858319981689174,380.10000000000002,0.015834287022201875,380.10000000000002,0.016563286793316548,380.10000000000002,0.015527834999109893,380.10000000000002,0.01607665115332774,380.10000000000002,0.015417715724422063,380.10000000000002,0.016174817527529816,380.10000000000002,0.016639836219831637,380.10000000000002,0.016261412476793569,380.10000000000002,0.01681010147249561,380.10000000000002,0.015646601052872511,380.10000000000002,0.016112637013300783,380.10000000000002,0.01645202309198647,380.10000000000002,0.016068640166831974
380.89999999999998,0.015796393784491752,380.89999999999998,0.015394784805405085,380.89999999999998,0.01579423208972305,380.89999999999998,0.015863703025524954,380.89999999999998,0.015534192924900181,380.89999999999998,0.015663004501411462,380.89999999999998,0.016567228707306529,380.89999999999998,0.015597051617880182,380.89999999999998,0.015610106558836243,380.89999999999998,0.016149343438196725,380.89999999999998,0.015634690538558697,380.89999999999998,0.016529759331315747,380.89999999999998,0.016210718615158992,380.89999999999998,0.015895874130023819,380.89999999999998,0.015607690547035934,380.89999999999998,0.016134296347159703,380.89999999999998,0.016140103252714835,380.89999999999998,0.016082797148258353,380.89999999999998,0.01646448462653544,380.89999999999998,0.016301552181616271,380.89999999999998,0.015513720403855446,380.89999999999998,0.016127896035197473,380.89999999999998,0.0162795961445538,380.89999999999998,0.016395649483312565,380.89999999999998,0.016558200452684316,380.89999999999998,0.015941184947822623,380.89999999999998,0.016394674601358052,380.89999999999998,0.016735925671608896,380.89999999999998,0.015971999694819557,380.89999999999998,0.016157651127896033,380.89999999999998,0.016532387273975737,380.89999999999998,0.017096843925637699,380.89999999999998,0.015775200698524113,380.89999999999998,0.015731500555258852,380.89999999999998,0.014867076964811,380.89999999999998,0.015135381433161246,380.89999999999998,0.015752015462475521,380.89999999999998,0.015403643515339554,380.89999999999998,0.015241813110890704,380.89999999999998,0.015698820816696761,380.89999999999998,0.015707552368115427,380.89999999999998,0.016109754753609186,380.89999999999998,0.0159034188686283,380.89999999999998,0.014997329671168076,380.89999999999998,0.015258089400913846,380.89999999999998,0.015557759636496192,380.89999999999998,0.015735866330968185,380.89999999999998,0.015635877351372889,380.89999999999998,0.015849164568551156,380.89999999999998,0.015611971550401397,380.89999999999998,0.015891381195798682,380.89999999999998,0.015631681120351296,380.89999999999998,0.016333129879708044,380.89999999999998,0.015669404813373686,380.89999999999998,0.016174987072217564,380.89999999999998,0.015482990429202374,380.89999999999998,0.015970940040521176,380.89999999999998,0.016641531666709047,380.89999999999998,0.016185541229029442,380.89999999999998,0.016373523901562353,380.89999999999998,0.015724591609233406,380.89999999999998,0.016105855225791138,380.89999999999998,0.016034519298424085,380.89999999999998,0.016002941600332308
381.60000000000002,0.015948984003458715,381.60000000000002,0.01580593067317718,381.60000000000002,0.016007010672838093,381.60000000000002,0.015881505217737766,381.60000000000002,0.015223926146334022,381.60000000000002,0.015797792528165617,381.60000000000002,0.016219662097437332,381.60000000000002,0.015013817892050897,381.60000000000002,0.01618655849715589,381.60000000000002,0.015509312241974179,381.60000000000002,0.015392241635088968,381.60000000000002,0.016061815993150395,381.60000000000002,0.016011503607063236,381.60000000000002,0.016025575816145742,381.60000000000002,0.015778930681654414,381.60000000000002,0.01606139213143104,381.60000000000002,0.016335079643617065,381.60000000000002,0.016098903893593756,381.60000000000002,0.016828157981740036,381.60000000000002,0.016627077982079123,381.60000000000002,0.015558649746106828,381.60000000000002,0.015815933809753907,381.60000000000002,0.015717555504692147,381.60000000000002,0.016324440714461316,381.60000000000002,0.016680272627857883,381.60000000000002,0.0159691598212999,381.60000000000002,0.015944533455405509,381.60000000000002,0.016783398184176391,381.60000000000002,0.016729016725583443,381.60000000000002,0.016347541178166034,381.60000000000002,0.016590880191246403,381.60000000000002,0.017212134313301625,381.60000000000002,0.015367445724506835,381.60000000000002,0.015917999711774031,381.60000000000002,0.015156998380848231,381.60000000000002,0.014770012631079235,381.60000000000002,0.015301874316522976,381.60000000000002,0.014678839975246475,381.60000000000002,0.015290133346896908,381.60000000000002,0.015742054712070734,381.60000000000002,0.015799106499495605,381.60000000000002,0.016411544297788294,381.60000000000002,0.016062790875104906,381.60000000000002,0.015081254291599906,381.60000000000002,0.015233505421191392,381.60000000000002,0.015812076668107796,381.60000000000002,0.015751125352864881,381.60000000000002,0.015683349863940391,381.60000000000002,0.015609258835397542,381.60000000000002,0.01542547239388622,381.60000000000002,0.015985478497494977,381.60000000000002,0.015769012317421564,381.60000000000002,0.01623988030145046,381.60000000000002,0.015863533480837213,381.60000000000002,0.016012224171986136,381.60000000000002,0.01544738604477675,381.60000000000002,0.016392258589557739,381.60000000000002,0.016350762527233109,381.60000000000002,0.015902401600501853,381.60000000000002,0.016123445487144273,381.60000000000002,0.015142205606842823,381.60000000000002,0.016369497215228505,381.60000000000002,0.016868679162110153,381.60000000000002,0.015562125412205523
382.39999999999998,0.015924400023736261,382.39999999999998,0.016130608750201336,382.39999999999998,0.01627065266227546,382.39999999999998,0.01563990403770674,382.39999999999998,0.015298525808940092,382.39999999999998,0.016035155091003114,382.39999999999998,0.016629112518332021,382.39999999999998,0.014901070674703084,382.39999999999998,0.016178928986207541,382.39999999999998,0.015923849003501096,382.39999999999998,0.015048065918974595,382.39999999999998,0.016260183277807448,382.39999999999998,0.01552067173605283,382.39999999999998,0.016078134669345476,382.39999999999998,0.016047659011724016,382.39999999999998,0.015654484880852467,382.39999999999998,0.016769961767672915,382.39999999999998,0.016187067131219111,382.39999999999998,0.016673024592456957,382.39999999999998,0.016439731102125241,382.39999999999998,0.015708696794757681,382.39999999999998,0.016160109525868282,382.39999999999998,0.01608461975365157,382.39999999999998,0.016172698218933055,382.39999999999998,0.016815060654612041,382.39999999999998,0.0164599916923103,382.39999999999998,0.01562324627213618,382.39999999999998,0.015899222637606708,382.39999999999998,0.016734950789654382,382.39999999999998,0.016203428193586125,382.39999999999998,0.016653611725710601,382.39999999999998,0.017100234819392518,382.39999999999998,0.015139408119495096,382.39999999999998,0.015743368683400726,382.39999999999998,0.014891660944533452,382.39999999999998,0.015178615328535216,382.39999999999998,0.015178106694471996,382.39999999999998,0.015134915185269954,382.39999999999998,0.014967150716750168,382.39999999999998,0.0159268584217085,382.39999999999998,0.015656688961793105,382.39999999999998,0.015829158295397709,382.39999999999998,0.015575349897849325,382.39999999999998,0.015502572840636471,382.39999999999998,0.015875232064291346,382.39999999999998,0.015980773632410166,382.39999999999998,0.016178377965972383,382.39999999999998,0.015302722039961683,382.39999999999998,0.015512618363385128,382.39999999999998,0.015545849122182381,382.39999999999998,0.015700643422089974,382.39999999999998,0.015613031204699777,382.39999999999998,0.016010994973000008,382.39999999999998,0.0162407704110611,382.39999999999998,0.016141078134669348,382.39999999999998,0.015245627866364877,382.39999999999998,0.016198977645532919,382.39999999999998,0.016633902155760698,382.39999999999998,0.016003280689707789,382.39999999999998,0.015809787814823291,382.39999999999998,0.015067605944236753,382.39999999999998,0.015994803455320734,382.39999999999998,0.016674550494646626,382.39999999999998,0.015557039071573291
383.10000000000002,0.016639030882564871,383.10000000000002,0.01633745326924544,383.10000000000002,0.016419004264048895,383.10000000000002,0.015545806736010442,383.10000000000002,0.015036579266380138,383.10000000000002,0.01534934682909048,383.10000000000002,0.016484999533752112,383.10000000000002,0.015100285682798843,383.10000000000002,0.016156040453362493,383.10000000000002,0.015552546137348149,383.10000000000002,0.016000059340640711,383.10000000000002,0.015555725100243297,383.10000000000002,0.015893670049083184,383.10000000000002,0.016173079694480477,383.10000000000002,0.01586200757864754,383.10000000000002,0.015372192975763586,383.10000000000002,0.016530056034519298,383.10000000000002,0.016232844196909204,383.10000000000002,0.016832396598933562,383.10000000000002,0.016178632283003994,383.10000000000002,0.015874002865305221,383.10000000000002,0.016205038868119664,383.10000000000002,0.016357586700914695,383.10000000000002,0.016287140883158278,383.10000000000002,0.016544636877665029,383.10000000000002,0.016304858303027223,383.10000000000002,0.015429117604672653,383.10000000000002,0.015875486381322954,383.10000000000002,0.016751057534989785,383.10000000000002,0.016286505090579249,383.10000000000002,0.016378949331570063,383.10000000000002,0.016912887939438636,383.10000000000002,0.015935420428439425,383.10000000000002,0.016046853674457247,383.10000000000002,0.015404533624950196,383.10000000000002,0.01512012241126455,383.10000000000002,0.01514419775692378,383.10000000000002,0.015249357849495181,383.10000000000002,0.015416444139264006,383.10000000000002,0.015903122165424752,383.10000000000002,0.01561006417266431,383.10000000000002,0.015332392360316369,383.10000000000002,0.01588900757017031,383.10000000000002,0.015748412637861024,383.10000000000002,0.016114290074006256,383.10000000000002,0.015742563346133956,383.10000000000002,0.016025787747005419,383.10000000000002,0.015902910234565078,383.10000000000002,0.016171299475259193,383.10000000000002,0.016027356035367025,383.10000000000002,0.015971067199036983,383.10000000000002,0.015824962064376117,383.10000000000002,0.01598725871671626,383.10000000000002,0.016627332299110741,383.10000000000002,0.015999508320405552,383.10000000000002,0.015295643549248493,383.10000000000002,0.01662792570551783,383.10000000000002,0.016251578884904586,383.10000000000002,0.015736247806515603,383.10000000000002,0.016564261675271062,383.10000000000002,0.014659003246780773,383.10000000000002,0.016203343421242255,383.10000000000002,0.016894958588710016,383.10000000000002,0.015807965209430078
383.89999999999998,0.016618685520035946,383.89999999999998,0.016351864567703434,383.89999999999998,0.016065503590108766,383.89999999999998,0.015219433212108884,383.89999999999998,0.015245119232301655,383.89999999999998,0.016022439239422533,383.89999999999998,0.017004654001678492,383.89999999999998,0.015469045378635676,383.89999999999998,0.01588985529360901,383.89999999999998,0.015760238379830965,383.89999999999998,0.015808473843493296,383.89999999999998,0.015683731339487805,383.89999999999998,0.016143748463501268,383.89999999999998,0.016043378008358557,383.89999999999998,0.015986622924137231,383.89999999999998,0.015697718776226444,383.89999999999998,0.016143494146469654,383.89999999999998,0.016139594618651609,383.89999999999998,0.016589099972025127,383.89999999999998,0.016350720141061183,383.89999999999998,0.016113060875020138,383.89999999999998,0.01643477192000882,383.89999999999998,0.016354195807159872,383.89999999999998,0.016198129922094216,383.89999999999998,0.016717572459160921,383.89999999999998,0.016461687139187709,383.89999999999998,0.016056432949314619,383.89999999999998,0.015660164627891798,383.89999999999998,0.016692564617719112,383.89999999999998,0.016195798682637777,383.89999999999998,0.016721429600807032,383.89999999999998,0.016743343251697563,383.89999999999998,0.015617524138924921,383.89999999999998,0.01582135923976162,383.89999999999998,0.015428269881233945,383.89999999999998,0.01504128413146495,383.89999999999998,0.015203538397633153,383.89999999999998,0.015734255656434645,383.89999999999998,0.014979018844892044,383.89999999999998,0.015416528911607877,383.89999999999998,0.01550664191314226,383.89999999999998,0.015211167908581506,383.89999999999998,0.015683858498003609,383.89999999999998,0.016168883463458881,383.89999999999998,0.015925247747174964,383.89999999999998,0.01515254783279503,383.89999999999998,0.016089367004908321,383.89999999999998,0.015808812932868784,383.89999999999998,0.016332366928613212,383.89999999999998,0.015984969863431755,383.89999999999998,0.016072794011681629,383.89999999999998,0.015702042165763836,383.89999999999998,0.015501513186338087,383.89999999999998,0.016368776650305606,383.89999999999998,0.015995269703212026,383.89999999999998,0.015402456702525368,383.89999999999998,0.01636174054576435,383.89999999999998,0.016254969778659409,383.89999999999998,0.015670125378296585,383.89999999999998,0.016339614964014138,383.89999999999998,0.015826318421878049,383.89999999999998,0.016086357586700916,383.89999999999998,0.016154896026720243,383.89999999999998,0.015900367064248955
384.60000000000002,0.016555953985571747,384.60000000000002,0.015964454956215086,384.60000000000002,0.015851877283555013,384.60000000000002,0.015136356315115758,384.60000000000002,0.015183235421276165,384.60000000000002,0.015646050032637353,384.60000000000002,0.016613853496435325,384.60000000000002,0.015864084501072368,384.60000000000002,0.016070420386053254,384.60000000000002,0.015616125395251052,384.60000000000002,0.016523952425760619,384.60000000000002,0.015699838084823208,384.60000000000002,0.016566762459415241,384.60000000000002,0.016363817468189181,384.60000000000002,0.016028161372633788,384.60000000000002,0.015552758068207828,384.60000000000002,0.016339318260810594,384.60000000000002,0.016019217890355451,384.60000000000002,0.016187279062078785,384.60000000000002,0.016509244424099082,384.60000000000002,0.015770580605783169,384.60000000000002,0.015654866356399892,384.60000000000002,0.016130396819341659,384.60000000000002,0.016458381017776764,384.60000000000002,0.016795563015521812,384.60000000000002,0.016177699787221417,384.60000000000002,0.015540169375143052,384.60000000000002,0.016273916397514476,384.60000000000002,0.016550994803455323,384.60000000000002,0.016482329204920189,384.60000000000002,0.016720581877368322,384.60000000000002,0.016562778159253323,384.60000000000002,0.015536142688809207,384.60000000000002,0.015545849122182378,384.60000000000002,0.015645287081542517,384.60000000000002,0.015419368785127544,384.60000000000002,0.01539258072446445,384.60000000000002,0.015560472351500045,384.60000000000002,0.015374905690767444,384.60000000000002,0.015260547798886092,384.60000000000002,0.015878792502733909,384.60000000000002,0.016058891347286865,384.60000000000002,0.015824580588828699,384.60000000000002,0.015386434729533835,384.60000000000002,0.015709925993743799,384.60000000000002,0.015179674982833602,384.60000000000002,0.015417122318014972,384.60000000000002,0.015841874146978289,384.60000000000002,0.016384925781812942,384.60000000000002,0.015857811347625948,384.60000000000002,0.0159575036240177,384.60000000000002,0.016241194272780448,384.60000000000002,0.01601608131363224,384.60000000000002,0.016495087442672706,384.60000000000002,0.01579944558887109,384.60000000000002,0.015712723481091529,384.60000000000002,0.016869526885548859,384.60000000000002,0.016714435882437713,384.60000000000002,0.015563312225019709,384.60000000000002,0.016715156447360612,384.60000000000002,0.015424497511931709,384.60000000000002,0.016721302442291225,384.60000000000002,0.016129464323559082,384.60000000000002,0.015650288649830878
385.39999999999998,0.016094792434916034,385.39999999999998,0.015984800318744014,385.39999999999998,0.015855268177309832,385.39999999999998,0.015344896281037275,385.39999999999998,0.015157803718115004,385.39999999999998,0.01592410332053271,385.39999999999998,0.016615548943312731,385.39999999999998,0.015653001364834735,385.39999999999998,0.015710985648042179,385.39999999999998,0.015525418987309577,385.39999999999998,0.015889007570170307,385.39999999999998,0.015991454947737845,385.39999999999998,0.016349745259106669,385.39999999999998,0.015544068902961101,385.39999999999998,0.016074786161762583,385.39999999999998,0.016032569534515057,385.39999999999998,0.016115519272992377,385.39999999999998,0.016160787704619244,385.39999999999998,0.015559115993998118,385.39999999999998,0.016722023007214124,385.39999999999998,0.015874850588743928,385.39999999999998,0.015661648143909527,385.39999999999998,0.015937115875316835,385.39999999999998,0.016015021659333859,385.39999999999998,0.017149911412900655,385.39999999999998,0.016449819011045839,385.39999999999998,0.01615053025101091,385.39999999999998,0.016482456363435993,385.39999999999998,0.016380602392275543,385.39999999999998,0.016022863101141881,385.39999999999998,0.017080016615379397,385.39999999999998,0.016416122004357298,385.39999999999998,0.015086001542856659,385.39999999999998,0.01519913023575189,385.39999999999998,0.015597814568975014,385.39999999999998,0.015465145850817629,385.39999999999998,0.015182345311665521,385.39999999999998,0.01555453828742911,385.39999999999998,0.01495952120580182,385.39999999999998,0.015205445775370243,385.39999999999998,0.016023753210752528,385.39999999999998,0.016084323050448022,385.39999999999998,0.016033120554750219,385.39999999999998,0.015405932368624057,385.39999999999998,0.015435263599603266,385.39999999999998,0.015456880547290254,385.39999999999998,0.015530717258801488,385.39999999999998,0.015492612090231684,385.39999999999998,0.015500750235243256,385.39999999999998,0.015398345243847648,385.39999999999998,0.015778633978450869,385.39999999999998,0.016225935250883752,385.39999999999998,0.016049990251180452,385.39999999999998,0.016184820664106543,385.39999999999998,0.015362020294499124,385.39999999999998,0.015682205437298136,385.39999999999998,0.016789840882310555,385.39999999999998,0.017067088832939139,385.39999999999998,0.015771852190941228,385.39999999999998,0.016075125251138068,385.39999999999998,0.015949238320490326,385.39999999999998,0.016689936675059126,385.39999999999998,0.016456685570899347,385.39999999999998,0.015445987301102887
386.10000000000002,0.016150742181870591,386.10000000000002,0.015279494417741157,386.10000000000002,0.015951908649322243,386.10000000000002,0.015528004543797632,386.10000000000002,0.015348541491823709,386.10000000000002,0.015646897756076059,386.10000000000002,0.015777150462433134,386.10000000000002,0.015690301196137769,386.10000000000002,0.0159034188686283,386.10000000000002,0.016001839559861987,386.10000000000002,0.016296762544187583,386.10000000000002,0.016011800310266777,386.10000000000002,0.016420106304519216,386.10000000000002,0.015671227418766902,386.10000000000002,0.01545849122182379,386.10000000000002,0.015379822486711934,386.10000000000002,0.015956147266515768,386.10000000000002,0.015998872527826523,386.10000000000002,0.015236981087290082,386.10000000000002,0.016597407661724437,386.10000000000002,0.015111051770470401,386.10000000000002,0.015808304298805559,386.10000000000002,0.01650509057924943,386.10000000000002,0.015777659096496362,386.10000000000002,0.016534464196400565,386.10000000000002,0.016391326093775166,386.10000000000002,0.015643591634665107,386.10000000000002,0.016813916227969784,386.10000000000002,0.016158498851334743,386.10000000000002,0.016173757873231435,386.10000000000002,0.016634114086620379,386.10000000000002,0.01629574527606114,386.10000000000002,0.01540220238549376,386.10000000000002,0.015161830404448852,386.10000000000002,0.015511346778227068,386.10000000000002,0.015720310605867944,386.10000000000002,0.01500008477234387,386.10000000000002,0.015301916702694913,386.10000000000002,0.015481718844044321,386.10000000000002,0.015118977984622296,386.10000000000002,0.015537159956935652,386.10000000000002,0.015637572798250302,386.10000000000002,0.015912743826454055,386.10000000000002,0.014817612302162541,386.10000000000002,0.016026974559819603,386.10000000000002,0.015916346651068555,386.10000000000002,0.01534082720853149,386.10000000000002,0.015412078363554673,386.10000000000002,0.015506684299314191,386.10000000000002,0.015624687401981977,386.10000000000002,0.015548053203123012,386.10000000000002,0.016225935250883752,386.10000000000002,0.016109330891889831,386.10000000000002,0.016167866195332434,386.10000000000002,0.015306918270983277,386.10000000000002,0.01598992904554818,386.10000000000002,0.016424472080228545,386.10000000000002,0.017089977365784183,386.10000000000002,0.016127896035197476,386.10000000000002,0.016261624407653247,386.10000000000002,0.015789018590575011,386.10000000000002,0.016579732628027435,386.10000000000002,0.016034519298424081,386.10000000000002,0.01549685070742521
386.89999999999998,0.016536456346481529,386.89999999999998,0.015789823927841784,386.89999999999998,0.016078219441689343,386.89999999999998,0.015540720395378212,386.89999999999998,0.015251901019811298,386.89999999999998,0.015638420521689008,386.89999999999998,0.015648296499749921,386.89999999999998,0.015571619914719019,386.89999999999998,0.015488882107101377,386.89999999999998,0.01642400583233726,386.89999999999998,0.016163669964310845,386.89999999999998,0.015471800479811464,386.89999999999998,0.016616778142298859,386.89999999999998,0.015678009206276548,386.89999999999998,0.015143138102625398,386.89999999999998,0.015760450310690639,386.89999999999998,0.015627230572298097,386.89999999999998,0.016465968142553175,386.89999999999998,0.015591329484668921,386.89999999999998,0.016098098556326983,386.89999999999998,0.015448445699075134,386.89999999999998,0.015963437688088635,386.89999999999998,0.016403363766604784,386.89999999999998,0.01550214897891712,386.89999999999998,0.016043632325390165,386.89999999999998,0.016787212939650565,386.89999999999998,0.016399760941990287,386.89999999999998,0.01687156142180175,386.89999999999998,0.016843459389808666,386.89999999999998,0.01598725871671626,386.89999999999998,0.016679891152310472,386.89999999999998,0.016451726388782926,386.89999999999998,0.015772657528208001,386.89999999999998,0.015694200723955817,386.89999999999998,0.015665632444071445,386.89999999999998,0.015638929155752226,386.89999999999998,0.014928876003492618,386.89999999999998,0.015118808439934555,386.89999999999998,0.015335062689148294,386.89999999999998,0.014929087934352296,386.89999999999998,0.015127709536040965,386.89999999999998,0.015562125412205523,386.89999999999998,0.016117045175182049,386.89999999999998,0.015644990378338972,386.89999999999998,0.016397429702533845,386.89999999999998,0.015969753227706992,386.89999999999998,0.015555301238523944,386.89999999999998,0.016101277519222131,386.89999999999998,0.015463450403940218,386.89999999999998,0.0158654408585743,386.89999999999998,0.016424599238744349,386.89999999999998,0.016183549078948482,386.89999999999998,0.015556615209853937,386.89999999999998,0.015781304307282792,386.89999999999998,0.015598535133897917,386.89999999999998,0.016615548943312731,386.89999999999998,0.016655052855556404,386.89999999999998,0.016757669777811686,386.89999999999998,0.016192323016539088,386.89999999999998,0.016281122046743472,386.89999999999998,0.016470588235294122,386.89999999999998,0.016799292998652123,386.89999999999998,0.016308333969125913,386.89999999999998,0.01609364800827378
