Data Set 1:Wavelength(nm),Data Set 1:Intensity,Data Set 2:Wavelength(nm),Data Set 2:Intensity,Data Set 3:Wavelength(nm),Data Set 3:Intensity,Data Set 4:Wavelength(nm),Data Set 4:Intensity,Data Set 5:Wavelength(nm),Data Set 5:Intensity
380.10000000000002,0.015770580605783169,380.10000000000002,0.014645227740901805,380.10000000000002,0.015709798835227995,380.10000000000002,0.015027720556445662,380.10000000000002,0.01544187584242517
380.89999999999998,0.015340360960640202,380.89999999999998,0.01452866576807982,380.89999999999998,0.01561866856556717,380.89999999999998,0.014928960775836487,380.89999999999998,0.015239693802293943
381.60000000000002,0.015506514754626452,381.60000000000002,0.014497300000847721,381.60000000000002,0.01577973601892119,381.60000000000002,0.015469808329730507,381.60000000000002,0.015051499198901353
382.39999999999998,0.01500296703203547,382.39999999999998,0.014820282630994464,382.39999999999998,0.015646643439044448,382.39999999999998,0.015140891635512828,382.39999999999998,0.015049803752023945
383.10000000000002,0.015663343590786943,383.10000000000002,0.015146656154896026,383.10000000000002,0.015510159965412886,383.10000000000002,0.01535621338894399,383.10000000000002,0.015175266820952337
383.89999999999998,0.015820172426947433,383.89999999999998,0.015282291905088884,383.89999999999998,0.015041368903808824,383.89999999999998,0.01527228876851216,383.89999999999998,0.015102362605223676
384.60000000000002,0.016216059272822839,384.60000000000002,0.014742292074633571,384.60000000000002,0.015403346812136011,384.60000000000002,0.015334172579537649,384.60000000000002,0.015464340513550862
385.39999999999998,0.015576875800038997,385.39999999999998,0.014539686172782991,385.39999999999998,0.015677161482837845,385.39999999999998,0.015324847621711891,385.39999999999998,0.014956554173766354
386.10000000000002,0.015478539881149177,386.10000000000002,0.014496452277409018,386.10000000000002,0.015594084585844716,386.10000000000002,0.015216339021557604,386.10000000000002,0.015248171036680998
386.89999999999998,0.015786263489399221,386.89999999999998,0.014938963912413214,386.89999999999998,0.015703440909437708,386.89999999999998,0.01531552266388613,386.89999999999998,0.014915015725269791
387.60000000000002,0.015900706153624444,387.60000000000002,0.015150894772089552,387.60000000000002,0.015499139560709715,387.60000000000002,0.015358756559260105,387.60000000000002,0.015725439332672113
388.39999999999998,0.015907487941134085,388.39999999999998,0.014980502360909776,388.39999999999998,0.015956910217610608,388.39999999999998,0.015390970049930907,388.39999999999998,0.01551435619643448
389.10000000000002,0.015815933809753907,389.10000000000002,0.014999999999999999,389.10000000000002,0.015771258784534135,389.10000000000002,0.015250247959105819,389.10000000000002,0.015651687393504747
389.89999999999998,0.016361019980841451,389.89999999999998,0.014976263743716248,389.89999999999998,0.016174775141357883,389.89999999999998,0.01527398421538957,389.89999999999998,0.015752566482710683
390.60000000000002,0.016270313572899976,390.60000000000002,0.015322982630146739,390.60000000000002,0.015742436187618152,390.60000000000002,0.015218882191873723,390.60000000000002,0.016238312013088851
391.39999999999998,0.015685384400193285,391.39999999999998,0.014997456829683882,391.39999999999998,0.01582296991429516,391.39999999999998,0.015627484889329704,391.39999999999998,0.016275611844391889
392.10000000000002,0.015586200757864755,392.10000000000002,0.014778744182497902,392.10000000000002,0.015440646643439047,392.10000000000002,0.015487610521943321,392.10000000000002,0.015361765977467514
392.89999999999998,0.015740486423709132,392.89999999999998,0.014644803879182454,392.89999999999998,0.015249061146291638,392.89999999999998,0.0155477988860914,392.89999999999998,0.0149955494519468
393.60000000000002,0.016158414078990872,393.60000000000002,0.014755855649652858,393.60000000000002,0.015467773793477618,393.60000000000002,0.015119698549545197,393.60000000000002,0.014801420784483273
394.39999999999998,0.016024473775675424,394.39999999999998,0.015177174198689417,394.39999999999998,0.015371981044903914,394.39999999999998,0.014892508667972159,394.39999999999998,0.015818688910929701
395.10000000000002,0.015773547637818641,395.10000000000002,0.015027974873477276,395.10000000000002,0.015763629273585787,395.10000000000002,0.01481027949441774,395.10000000000002,0.015766977781168676
395.89999999999998,0.015696404804896452,395.89999999999998,0.0153484143333079,395.89999999999998,0.015340615277671813,395.89999999999998,0.015466417435975686,395.89999999999998,0.015979756364283719
396.60000000000002,0.015723531954935026,396.60000000000002,0.015195824114340936,396.60000000000002,0.015935717131642976,396.60000000000002,0.015961487924179615,396.60000000000002,0.015659316904453095
397.39999999999998,0.016132134652391005,397.39999999999998,0.015367911972398124,397.39999999999998,0.016107804989700159,397.39999999999998,0.015809745428651354,397.39999999999998,0.015528767494892468
398.10000000000002,0.01556331222501971,398.10000000000002,0.015260251095682546,398.10000000000002,0.016232420335189849,398.10000000000002,0.015581707823639617,398.10000000000002,0.015486381322957201
398.89999999999998,0.015288649830879174,398.89999999999998,0.01500508634063223,398.89999999999998,0.016275654230563825,398.89999999999998,0.01564443935810381,398.89999999999998,0.015542331069911756
399.60000000000002,0.015109780185312345,399.60000000000002,0.015396734569314107,399.60000000000002,0.016193425057009402,399.60000000000002,0.016201393657333231,399.60000000000002,0.015727982502988229
400.39999999999998,0.015242872765189085,400.39999999999998,0.015385714164610934,400.39999999999998,0.015967082898875072,400.39999999999998,0.016059823843069435,400.39999999999998,0.015754261929588093
401.10000000000002,0.015214050168273105,401.10000000000002,0.015619685833693614,401.10000000000002,0.015395717301187663,401.10000000000002,0.015973356052321492,401.10000000000002,0.015271907292964747
401.89999999999998,0.014741868212914221,401.89999999999998,0.015036452107864329,401.89999999999998,0.015282970083839852,401.89999999999998,0.015655459762806981,401.89999999999998,0.01510151488178497
402.60000000000002,0.015354772259098195,402.60000000000002,0.015111051770470401,402.60000000000002,0.015420301280910119,402.60000000000002,0.015434203945304882,402.60000000000002,0.01526766867577122
403.39999999999998,0.015486169392097526,403.39999999999998,0.014705839966769241,403.39999999999998,0.015630536693709045,403.39999999999998,0.015305349982621669,403.39999999999998,0.015953476937683852
404.10000000000002,0.01634999957613828,404.10000000000002,0.015160219729915311,404.10000000000002,0.015655120673431503,404.10000000000002,0.015458787925027338,404.10000000000002,0.015930588404838807
404.89999999999998,0.016097377991404087,404.89999999999998,0.015214474029992457,404.89999999999998,0.015967082898875076,404.89999999999998,0.016003026372676175,404.89999999999998,0.01647821774624247
405.60000000000002,0.016602621160872476,405.60000000000002,0.015601035918042098,405.60000000000002,0.01577973601892119,405.60000000000002,0.016025067182082516,405.60000000000002,0.01634173427261091
406.39999999999998,0.016354238193331809,406.39999999999998,0.015940973016962946,406.39999999999998,0.015527962157625697,406.39999999999998,0.015602053186168542,406.39999999999998,0.016244246077159793
407.10000000000002,0.016466137687240916,407.10000000000002,0.015619685833693615,407.10000000000002,0.015171070589930743,407.10000000000002,0.015185820977764213,407.10000000000002,0.015772064121800908
407.89999999999998,0.01566249586734824,407.89999999999998,0.01610627908751049,407.89999999999998,0.015930630791010741,407.89999999999998,0.015445224350008051,407.89999999999998,0.015808516229665236
408.60000000000002,0.01539207209040123,408.60000000000002,0.015866373354356873,408.60000000000002,0.016045073455235963,408.60000000000002,0.01583941574900604,408.60000000000002,0.016337495655417377
409.39999999999998,0.015398006154472167,409.39999999999998,0.015725651263531783,409.39999999999998,0.016875842425167216,409.39999999999998,0.016008112713308407,409.39999999999998,0.016256114205301667
410.10000000000002,0.015854929087934354,410.10000000000002,0.015154285665844374,410.10000000000002,0.015784822359553422,410.10000000000002,0.015216339021557605,410.10000000000002,0.016343429719488316
410.89999999999998,0.015876122173901989,410.89999999999998,0.014926248060832634,410.89999999999998,0.015899265023778648,410.89999999999998,0.014845883878843363,410.89999999999998,0.015836491103142513
411.60000000000002,0.015819324703508726,411.60000000000002,0.015506090892907097,411.60000000000002,0.015429626238735877,411.60000000000002,0.014769588769359882,411.60000000000002,0.015733916567059168
412.39999999999998,0.015707425209599623,412.39999999999998,0.015423861719352679,412.39999999999998,0.01611797767096463,412.39999999999998,0.015447767520324165,412.39999999999998,0.015215957546010194
413.10000000000002,0.01572098878461891,413.10000000000002,0.015235667115960088,413.10000000000002,0.015957757941049314,413.10000000000002,0.01574107983011622,413.10000000000002,0.015348202402448231
413.89999999999998,0.015416656070123684,413.89999999999998,0.014576986004086023,413.89999999999998,0.01556441426549003,413.89999999999998,0.01562409399557488,413.89999999999998,0.01561099666844689
414.60000000000002,0.015342056407517611,414.60000000000002,0.01466938785890491,414.60000000000002,0.016028966709900564,414.60000000000002,0.015473199223485329,414.60000000000002,0.016107762603528229
415.39999999999998,0.015296279341827522,415.39999999999998,0.014805871332536474,415.39999999999998,0.015956910217610611,415.39999999999998,0.015835177131812515,415.39999999999998,0.016279850461585418
416.10000000000002,0.01565147546264507,416.10000000000002,0.015274662394140536,416.10000000000002,0.016346015275976369,416.10000000000002,0.016245475276145907,416.10000000000002,0.016326475250714213
416.89999999999998,0.015537880521858552,416.89999999999998,0.015526436255436026,416.89999999999998,0.015562718818612617,416.89999999999998,0.016250561616778139,416.89999999999998,0.016581640005764522
417.60000000000002,0.015433610538897791,417.60000000000002,0.015734976221357545,417.60000000000002,0.015859422022159494,417.60000000000002,0.015992005967973004,417.60000000000002,0.016421420275849211
418.39999999999998,0.01561248018446462,418.39999999999998,0.015878241482498751,418.39999999999998,0.015832294872120921,418.39999999999998,0.015691911870671309,418.39999999999998,0.016036553834676979
419.10000000000002,0.015878665344218106,419.10000000000002,0.0158078804370862,419.10000000000002,0.016084916456855114,419.10000000000002,0.016097971397811179,419.10000000000002,0.015644057882556399
419.89999999999998,0.016411883387163775,419.89999999999998,0.015464552444410536,419.89999999999998,0.016279045124318645,419.89999999999998,0.01641501996388698,419.89999999999998,0.015744089248323632
