Data Set 1:Wavelength(nm),Data Set 1:Intensity,Data Set 2:Wavelength(nm),Data Set 2:Intensity,Data Set 3:Wavelength(nm),Data Set 3:Intensity,Data Set 4:Wavelength(nm),Data Set 4:Intensity,Data Set 5:Wavelength(nm),Data Set 5:Intensity,Data Set 6:Wavelength(nm),Data Set 6:Intensity,Data Set 7:Wavelength(nm),Data Set 7:Intensity,Data Set 8:Wavelength(nm),Data Set 8:Intensity,Data Set 9:Wavelength(nm),Data Set 9:Intensity,Data Set 10:Wavelength(nm),Data Set 10:Intensity
380.10000000000002,0.014785356425319803,380.10000000000002,0.015679153632918792,380.10000000000002,0.015118511736731011,380.10000000000002,0.015748963658096183,380.10000000000002,0.016069021642379392,380.10000000000002,0.015984206912336919,380.10000000000002,0.016849520612395415,380.10000000000002,0.015360112916762038,380.10000000000002,0.015730271356272731,380.10000000000002,0.015472775361765972
380.89999999999998,0.015227444198604643,380.89999999999998,0.015625747056280354,380.89999999999998,0.015060866542899046,380.89999999999998,0.015662919729067588,380.89999999999998,0.016144469028424171,380.89999999999998,0.015682841229877162,380.89999999999998,0.016567228707306533,380.89999999999998,0.015114696981256838,380.89999999999998,0.01566414892805371,380.89999999999998,0.01543420394530488
381.60000000000002,0.015736078261827859,381.60000000000002,0.015986029517730132,381.60000000000002,0.015343158447987931,381.60000000000002,0.015686655985351336,381.60000000000002,0.015637530412078365,381.60000000000002,0.015328492832498326,381.60000000000002,0.016336647931978671,381.60000000000002,0.015385120758203846,381.60000000000002,0.015920161406542729,381.60000000000002,0.015617312208065236
382.39999999999998,0.015634351449183213,382.39999999999998,0.015916516195756295,382.39999999999998,0.015321965362020294,382.39999999999998,0.016169010621974688,382.39999999999998,0.015904563295270551,382.39999999999998,0.015779481701889576,382.39999999999998,0.016010274408077108,382.39999999999998,0.015672499003924961,382.39999999999998,0.016323677763366479,382.39999999999998,0.015963183371057024
383.10000000000002,0.01592596831209786,383.10000000000002,0.01610555852258759,383.10000000000002,0.015493205496638778,383.10000000000002,0.016363987012876922,383.10000000000002,0.015624814560497783,383.10000000000002,0.015999889795952967,383.10000000000002,0.01574917558895586,383.10000000000002,0.015963268143400901,383.10000000000002,0.016329611827437418,383.10000000000002,0.015947076625721621
383.89999999999998,0.015677585344557189,383.89999999999998,0.01568508769698973,383.89999999999998,0.015451667048142215,383.89999999999998,0.016006247721743257,383.89999999999998,0.015464594830582471,383.89999999999998,0.016244881869738818,383.89999999999998,0.01533124793367412,383.89999999999998,0.015936140993362328,383.89999999999998,0.015877775234607462,383.89999999999998,0.016047107991488851
384.60000000000002,0.016113315192051746,384.60000000000002,0.015557929181183927,384.60000000000002,0.015298229105736543,384.60000000000002,0.015619685833693614,384.60000000000002,0.01533489314446055,384.60000000000002,0.015665039037664353,384.60000000000002,0.015637276095046754,384.60000000000002,0.015777616710324426,384.60000000000002,0.015590396988886347,384.60000000000002,0.015833481684935102
385.39999999999998,0.01536731856599103,385.39999999999998,0.015215448911946962,385.39999999999998,0.015288904147910787,385.39999999999998,0.015612904046183972,385.39999999999998,0.015379822486711934,385.39999999999998,0.015651475462645066,385.39999999999998,0.015789866314013717,385.39999999999998,0.015858150437001433,385.39999999999998,0.015382704746403533,385.39999999999998,0.01586654289904461
386.10000000000002,0.015389359375397368,386.10000000000002,0.015380754982494508,386.10000000000002,0.015082059628866678,386.10000000000002,0.016193594601697139,386.10000000000002,0.015597687410459211,386.10000000000002,0.015226766019853682,386.10000000000002,0.015768673228046082,386.10000000000002,0.015588574383493134,386.10000000000002,0.015570899349796122,386.10000000000002,0.016027610352398632
386.89999999999998,0.015585183489738306,386.89999999999998,0.015616422098454597,386.89999999999998,0.015366046980832972,386.89999999999998,0.01635805294880598,386.89999999999998,0.015536651322872425,386.89999999999998,0.01544463094360096,386.89999999999998,0.015681357713859433,386.89999999999998,0.0155046497630613,386.89999999999998,0.015591244712325052,386.89999999999998,0.015904690453786351
387.60000000000002,0.015650458194518619,387.60000000000002,0.015676610462602679,387.60000000000002,0.015420301280910115,387.60000000000002,0.016474191059908612,387.60000000000002,0.015401015572679569,387.60000000000002,0.015453108177988013,387.60000000000002,0.01575256648271068,387.60000000000002,0.015434288717648757,387.60000000000002,0.015884557022117107,387.60000000000002,0.016242932105829787
388.39999999999998,0.015641133236692861,388.39999999999998,0.016040283817807276,388.39999999999998,0.015825513084611276,388.39999999999998,0.01610627908751049,388.39999999999998,0.015622271390181668,388.39999999999998,0.015832040555089306,388.39999999999998,0.015825470698439342,388.39999999999998,0.015621635597602643,388.39999999999998,0.016162610310012464,388.39999999999998,0.015873324686554252
389.10000000000002,0.015376643523816787,389.10000000000002,0.01624543288997397,389.10000000000002,0.015619516289005875,389.10000000000002,0.016192746878258436,389.10000000000002,0.015884217932741623,389.10000000000002,0.016255902274441986,389.10000000000002,0.015755109653026799,389.10000000000002,0.015582640319422194,389.10000000000002,0.01604053813483889,389.10000000000002,0.016092037333740233
389.89999999999998,0.01533595279875893,389.89999999999998,0.016648101523359014,389.89999999999998,0.015535591668574046,389.89999999999998,0.016301255478412723,389.89999999999998,0.016747200393343674,389.89999999999998,0.016199104804048726,389.89999999999998,0.015641514712240279,389.89999999999998,0.015888668480794826,389.89999999999998,0.016376236616566217,389.89999999999998,0.016029305799276038
390.60000000000002,0.015167255834456566,390.60000000000002,0.016522638454430624,390.60000000000002,0.015366046980832975,390.60000000000002,0.016351271161296338,390.60000000000002,0.016773479819943541,390.60000000000002,0.016298288446377256,390.60000000000002,0.015716114374846348,390.60000000000002,0.016024304230987683,390.60000000000002,0.015759093953188714,390.60000000000002,0.01637432923882912
391.39999999999998,0.014976518060747859,391.39999999999998,0.016376830022973302,391.39999999999998,0.015475403304425966,391.39999999999998,0.016230894433000177,391.39999999999998,0.016707357391724523,391.39999999999998,0.015450565007671897,391.39999999999998,0.015430431576002646,391.39999999999998,0.016168417215567596,391.39999999999998,0.015649737629595723,391.39999999999998,0.016398913218551577
392.10000000000002,0.015299500690894601,392.10000000000002,0.015887693598840312,392.10000000000002,0.015410128599645653,392.10000000000002,0.015432338953739728,392.10000000000002,0.015778252502903455,392.10000000000002,0.015523469223400558,392.10000000000002,0.015766977781168673,392.10000000000002,0.015664021769537909,392.10000000000002,0.01471724184701983,392.10000000000002,0.016123403100972336
392.89999999999998,0.015207946559514423,392.89999999999998,0.015681696803234911,392.89999999999998,0.015333833490162171,392.89999999999998,0.015018649915651517,392.89999999999998,0.015818095504522605,392.89999999999998,0.015638759611064482,392.89999999999998,0.015494858557344253,392.89999999999998,0.015664021769537906,392.89999999999998,0.015119910480404872,392.89999999999998,0.015573230589252557
