Data Set 1:Wavelength(nm),Data Set 1:Intensity,Data Set 2:Wavelength(nm),Data Set 2:Intensity,Data Set 3:Wavelength(nm),Data Set 3:Intensity,Data Set 4:Wavelength(nm),Data Set 4:Intensity,Data Set 5:Wavelength(nm),Data Set 5:Intensity
380.10000000000002,0.015719081406881819,380.10000000000002,0.01540245670252537,380.10000000000002,0.015631850665039037,380.10000000000002,0.01500597645024287,380.10000000000002,0.015579842832074465
380.89999999999998,0.015358375083712692,380.89999999999998,0.015411357798631776,380.89999999999998,0.015237235404321694,380.89999999999998,0.015157295084051775,380.89999999999998,0.015364097216923953
381.60000000000002,0.015564371879318094,381.60000000000002,0.01581402643201682,381.60000000000002,0.015893373345879643,381.60000000000002,0.015136101998084142,381.60000000000002,0.015769309020625115
382.39999999999998,0.014791248103218807,382.39999999999998,0.015751294897552625,382.39999999999998,0.015572086162610311,382.39999999999998,0.015153056466858248,382.39999999999998,0.015448021837355783
383.10000000000002,0.015204089417868317,383.10000000000002,0.015789442452294366,383.10000000000002,0.01586624619584107,383.10000000000002,0.015328535218670258,383.10000000000002,0.015548053203123014
383.89999999999998,0.01500996075040479,383.89999999999998,0.015756381238184857,383.89999999999998,0.016012054627298392,383.89999999999998,0.015370073667166823,383.89999999999998,0.01491565151784882
384.60000000000002,0.015152378288107291,384.60000000000002,0.015884387477429363,384.60000000000002,0.015855225791137899,384.60000000000002,0.015659147359765348,384.60000000000002,0.015189466188550648
385.39999999999998,0.014970965472224344,385.39999999999998,0.015923382755609811,385.39999999999998,0.016260437594839059,385.39999999999998,0.015462475521985704,385.39999999999998,0.015292888448072701
386.10000000000002,0.014910777108076263,386.10000000000002,0.015732644981901106,386.10000000000002,0.015037172672787232,386.10000000000002,0.015556572823682,386.10000000000002,0.015507362478065157
386.89999999999998,0.015512660749557065,386.89999999999998,0.016058170782363962,386.89999999999998,0.015727219551893393,386.89999999999998,0.015562506887752936,386.89999999999998,0.015707425209599623
387.60000000000002,0.015588108135601842,387.60000000000002,0.01617939523409883,387.60000000000002,0.015350830345108214,387.60000000000002,0.01573459474581012,387.60000000000002,0.01591426972864373
388.39999999999998,0.016202707628663229,388.39999999999998,0.016162440765324724,388.39999999999998,0.015867093919279776,388.39999999999998,0.015515882098624145,388.39999999999998,0.016389842577757434
389.10000000000002,0.015840729720336039,389.10000000000002,0.015922535032171104,389.10000000000002,0.01566703118774531,389.10000000000002,0.015806651238100079,389.10000000000002,0.015975305816230516
389.89999999999998,0.015874638657884254,389.89999999999998,0.016276883429549943,389.89999999999998,0.015719590040945045,389.89999999999998,0.015739681086442355,389.89999999999998,0.015949874113069355
390.60000000000002,0.015484685876079788,390.60000000000002,0.016505768758000392,390.60000000000002,0.015998491052279101,390.60000000000002,0.016020277544653832,390.60000000000002,0.01541750379356239
391.39999999999998,0.015597433093427602,391.39999999999998,0.016386239753142937,391.39999999999998,0.015525461373481516,391.39999999999998,0.015921093902325302,391.39999999999998,0.01611263701330078
392.10000000000002,0.015349897849325637,392.10000000000002,0.016143790849673201,392.10000000000002,0.015783169298847946,392.10000000000002,0.015953307392996108,392.10000000000002,0.0158303451082119
392.89999999999998,0.014989615387875861,392.89999999999998,0.015639395403643518,392.89999999999998,0.015479684307791428,392.89999999999998,0.016127938421369409,392.89999999999998,0.01550905792494257
393.60000000000002,0.0150591287098497,393.60000000000002,0.015576663869179323,393.60000000000002,0.015534786331307277,393.60000000000002,0.015782914981816332,393.60000000000002,0.015414112899807568
394.39999999999998,0.01524562786636488,394.39999999999998,0.015723320024075348,394.39999999999998,0.015370327984198434,394.39999999999998,0.015865991878809455,394.39999999999998,0.015699795698651271
395.10000000000002,0.015815298017174878,395.10000000000002,0.016405737392233159,395.10000000000002,0.01572552410501598,395.10000000000002,0.015877012283512622,395.10000000000002,0.01576083178623806
395.89999999999998,0.015455863279163807,395.89999999999998,0.016785517492773159,395.89999999999998,0.016123954121207498,395.89999999999998,0.015828692047506421,395.89999999999998,0.015512448818697391
396.60000000000002,0.015733068843620458,396.60000000000002,0.016220085959156683,396.60000000000002,0.015971363902240538,396.60000000000002,0.015762569619287403,396.60000000000002,0.015529403287471497
397.39999999999998,0.015388045404067378,397.39999999999998,0.015525800462857,397.39999999999998,0.0157924942566737,397.39999999999998,0.015480277714198519,397.39999999999998,0.015942244602121004
398.10000000000002,0.015738155184252686,398.10000000000002,0.015400337393928607,398.10000000000002,0.015472902520281785,398.10000000000002,0.015977043649279855,398.10000000000002,0.016295745276061136
398.89999999999998,0.015407543043157602,398.89999999999998,0.015690258809965836,398.89999999999998,0.015867093919279776,398.89999999999998,0.015831235217822533,398.89999999999998,0.01665687546094962
399.60000000000002,0.015659316904453092,399.60000000000002,0.016510007375193921,399.60000000000002,0.01582216457702839,399.60000000000002,0.016095724930698607,399.60000000000002,0.016661961801581856
400.39999999999998,0.015488924493273316,400.39999999999998,0.016088688826157358,400.39999999999998,0.0159501708162729,400.39999999999998,0.015933809753905882,400.39999999999998,0.016387299407441314
401.10000000000002,0.015453320108847691,401.10000000000002,0.016105643294931461,401.10000000000002,0.015891677899002227,401.10000000000002,0.015770199130235751,401.10000000000002,0.015755745445605828
401.89999999999998,0.01545162466197028,401.89999999999998,0.015558013953527803,401.89999999999998,0.016023922755440265,401.89999999999998,0.01554385697210142,401.89999999999998,0.015681993506438462
402.60000000000002,0.01543721336351229,402.60000000000002,0.016010698269796463,402.60000000000002,0.016168883463458881,402.60000000000002,0.015326839771792848,402.60000000000002,0.015643845951696721
403.39999999999998,0.014933665640921308,403.39999999999998,0.01573010181158499,403.39999999999998,0.015478836584352722,403.39999999999998,0.01555826827055941,403.39999999999998,0.015543814585929487
404.10000000000002,0.015244780142926172,404.10000000000002,0.015905580563396998,404.10000000000002,0.015457643498385088,404.10000000000002,0.015515034375185439,404.10000000000002,0.016117723353933019
404.89999999999998,0.015338877444622465,404.89999999999998,0.015892016988377715,404.89999999999998,0.015426277731152989,404.89999999999998,0.01642040300772276,404.89999999999998,0.016084662139823503
405.60000000000002,0.016113696667599164,405.60000000000002,0.015950509905648384,405.60000000000002,0.015705178742487051,405.60000000000002,0.016607749887676642,405.60000000000002,0.016537346456092169
406.39999999999998,0.015818688910929701,406.39999999999998,0.016105643294931461,406.39999999999998,0.015595822418894059,406.39999999999998,0.017033307053906731,406.39999999999998,0.015986326220933683
407.10000000000002,0.015552503751176219,407.10000000000002,0.015603791019217892,407.10000000000002,0.015068538440019329,407.10000000000002,0.01593041886015106,407.10000000000002,0.015645541398574127
407.89999999999998,0.015493163110466843,407.89999999999998,0.016454905351678067,407.89999999999998,0.015405932368624059,407.89999999999998,0.015847341963157936,407.89999999999998,0.015119105143138105
408.60000000000002,0.015438908810389699,408.60000000000002,0.01642947364851691,408.60000000000002,0.015201631019896069,408.60000000000002,0.015594720378423741,408.60000000000002,0.015421742410755916
409.39999999999998,0.015844968337529568,409.39999999999998,0.016967778032094812,409.39999999999998,0.016202792401007096,409.39999999999998,0.015782914981816328,409.39999999999998,0.015948178666191942
410.10000000000002,0.015449081491654163,410.10000000000002,0.016400651051600924,410.10000000000002,0.015485618371862363,410.10000000000002,0.015529445673643429,410.10000000000002,0.015976153539669219
410.89999999999998,0.015470274577621798,410.89999999999998,0.016190415638802001,410.89999999999998,0.015791646533235001,410.89999999999998,0.015204767596619276,410.89999999999998,0.015935462814611362
411.60000000000002,0.015329552486796709,411.60000000000002,0.016259081237337134,411.60000000000002,0.015318616854437408,411.60000000000002,0.015594720378423738,411.60000000000002,0.015925290133346898
412.39999999999998,0.016034010664360859,412.39999999999998,0.016454057628239364,412.39999999999998,0.016027313649195088,412.39999999999998,0.016002475352441016,412.39999999999998,0.016255054551003283
413.10000000000002,0.015559285538685861,413.10000000000002,0.01680671057874079,413.10000000000002,0.016008663733543572,413.10000000000002,0.016077922738485795,413.10000000000002,0.015977001263107925
413.89999999999998,0.015399065808770549,413.89999999999998,0.016292990174885346,413.89999999999998,0.015739087680035267,413.89999999999998,0.0160151912040216,413.89999999999998,0.016058382713223639
414.60000000000002,0.015339725168061171,414.60000000000002,0.016112425082441106,414.60000000000002,0.015754346701931963,414.60000000000002,0.015728660681739188,414.60000000000002,0.01600158524283038
415.39999999999998,0.015701703076388362,415.39999999999998,0.015844544475810213,415.39999999999998,0.015757737595686785,415.39999999999998,0.016065206886905214,415.39999999999998,0.016207582038435784
416.10000000000002,0.016127260242618447,416.10000000000002,0.016337071793698022,416.10000000000002,0.016676669803243394,416.10000000000002,0.015851580580351465,416.10000000000002,0.016500894348227834
416.89999999999998,0.01563812381848546,416.89999999999998,0.016467621203258648,416.89999999999998,0.016561379415579464,416.89999999999998,0.01634919423887151,416.89999999999998,0.016501742071666541
417.60000000000002,0.015758500546781618,417.60000000000002,0.016800776514669855,417.60000000000002,0.016853844001932808,417.60000000000002,0.016559429651670437,417.60000000000002,0.016816247467426226
418.39999999999998,0.015174419097513629,418.39999999999998,0.01661173418783856,418.39999999999998,0.016387596110644862,418.39999999999998,0.016611988504870171,418.39999999999998,0.016477158091944083
419.10000000000002,0.015551656027737512,419.10000000000002,0.017112738740113424,419.10000000000002,0.016865712130074685,419.10000000000002,0.016494154946890122,419.10000000000002,0.01685439502216797
419.89999999999998,0.015657621457575682,419.89999999999998,0.01721616099963548,419.89999999999998,0.016736858167391473,419.89999999999998,0.016530607054754454,419.89999999999998,0.016671286759407614
420.60000000000002,0.015967888236141845,420.60000000000002,0.017797699278587355,420.60000000000002,0.016677517526682093,420.60000000000002,0.017076540949280707,420.60000000000002,0.017089214414689354
421.39999999999998,0.015831404762510281,421.39999999999998,0.017476412095318025,421.39999999999998,0.01629688970270339,421.39999999999998,0.017162161016589943,421.39999999999998,0.01688152217220654
422.10000000000002,0.015850902401600503,422.10000000000002,0.017232267744970879,422.10000000000002,0.016460500326373525,422.10000000000002,0.017239303849512132,422.10000000000002,0.016655180014072211
422.89999999999998,0.016147605605147379,422.89999999999998,0.017007621033713966,422.89999999999998,0.01651051600925714,422.89999999999998,0.016941752922526553,422.89999999999998,0.016661961801581852
423.60000000000002,0.016352754677314073,423.60000000000002,0.017468782584369676,423.60000000000002,0.016881818875410088,423.60000000000002,0.017353746513737354,423.60000000000002,0.017441019641752081
424.39999999999998,0.016663869179318939,424.39999999999998,0.017870603494316017,424.39999999999998,0.016359621237167589,424.39999999999998,0.017031611607029321,424.39999999999998,0.017982714919084802
425.10000000000002,0.016656239668370595,425.10000000000002,0.017682408890923429,425.10000000000002,0.016836041809719999,425.10000000000002,0.016949382433474901,425.10000000000002,0.018292981697650958
425.89999999999998,0.016379034103913941,425.89999999999998,0.01738401024049914,425.89999999999998,0.016497800157676559,425.89999999999998,0.016828157981740036,425.89999999999998,0.018322652018005651
426.60000000000002,0.016700321287183267,426.60000000000002,0.017702754253452357,426.60000000000002,0.017201410611802005,426.60000000000002,0.017035850224222847,426.60000000000002,0.018272636335122029
427.39999999999998,0.016514669854106798,427.39999999999998,0.018492832498325746,427.39999999999998,0.016811457829997545,427.39999999999998,0.017735222061154767,427.39999999999998,0.018018319303510423
428.10000000000002,0.017294575417715723,428.10000000000002,0.018407212431016503,428.10000000000002,0.017189542483660131,428.10000000000002,0.018025143477191998,428.10000000000002,0.017604630265422212
428.89999999999998,0.016836804760814828,428.89999999999998,0.018630163695396017,428.89999999999998,0.017521850071632636,428.89999999999998,0.018232835719674809,428.89999999999998,0.017804692996956677
429.60000000000002,0.017101294473690902,429.60000000000002,0.018647118164170123,429.60000000000002,0.01769987199376076,429.60000000000002,0.017934437069250526,429.60000000000002,0.018126827903664711
430.39999999999998,0.016974135957885099,430.39999999999998,0.019255783593160568,430.39999999999998,0.018084738434932988,430.39999999999998,0.017372396429388873,430.39999999999998,0.018788899909293593
431.10000000000002,0.017733696158965102,431.10000000000002,0.019073523053838914,431.10000000000002,0.017821944168934328,431.10000000000002,0.017388503174724276,431.10000000000002,0.018805854378067702
431.89999999999998,0.018155014708001665,431.89999999999998,0.019304951552605476,431.89999999999998,0.01831447148682214,431.89999999999998,0.01717572459160923,431.89999999999998,0.01855068962301739
432.60000000000002,0.017971906445241305,432.60000000000002,0.019498232496630297,432.60000000000002,0.017933843662843434,432.60000000000002,0.017847969278502577,432.60000000000002,0.018137848308367881
433.39999999999998,0.017826098013783983,433.39999999999998,0.020114527436569093,433.39999999999998,0.018514534218356606,433.39999999999998,0.017964107389605213,433.39999999999998,0.018489653535430601
434.10000000000002,0.01780999126844858,434.10000000000002,0.020236599611742664,434.10000000000002,0.018184769800700221,434.10000000000002,0.018756728804794721,434.10000000000002,0.018404881191560068
434.89999999999998,0.017982079126505769,434.89999999999998,0.020252706357078067,434.89999999999998,0.018559463560607989,434.89999999999998,0.019234844824224544,434.89999999999998,0.018902494850080116
435.60000000000002,0.017635360240075282,435.60000000000002,0.020017886964556683,435.60000000000002,0.018411111958834551,435.60000000000002,0.019883353254834139,435.60000000000002,0.019076278155014711
436.39999999999998,0.01778286411841001,436.39999999999998,0.020401057958851505,436.39999999999998,0.018588286157523972,436.39999999999998,0.020270762866322491,436.39999999999998,0.020316497545840646
437.10000000000002,0.018025313021879742,437.10000000000002,0.021104668412976955,437.10000000000002,0.019156260861456564,437.10000000000002,0.020221594906877579,437.10000000000002,0.020870060951315245
437.89999999999998,0.01823046209404644,437.89999999999998,0.02161669336995499,437.89999999999998,0.01903249323940558,437.89999999999998,0.020592897773030524,437.89999999999998,0.020965005976450245
438.60000000000002,0.018501733594432152,438.60000000000002,0.021898985275043876,438.60000000000002,0.019426684638403569,438.60000000000002,0.020612395412120749,438.60000000000002,0.020738663818315912
439.39999999999998,0.018724684858811663,439.39999999999998,0.02196765087357901,439.39999999999998,0.019447030000932501,439.39999999999998,0.02121088815984673,439.39999999999998,0.020773420479302834
440.10000000000002,0.019583428702220188,440.10000000000002,0.022516127938421372,440.10000000000002,0.019877673507794819,440.10000000000002,0.021175283775421102,440.10000000000002,0.021261709179997118
440.89999999999998,0.019870806947941307,440.89999999999998,0.023013741596941421,440.89999999999998,0.020087908920593745,440.89999999999998,0.021710197265244185,440.89999999999998,0.021857658757406986
441.60000000000002,0.019914888566753983,441.60000000000002,0.023301119842662536,441.60000000000002,0.01994125276569772,441.60000000000002,0.021394844146045793,441.60000000000002,0.022110280342141179
442.39999999999998,0.019713130388342104,442.39999999999998,0.023941998762323783,442.39999999999998,0.020244737756754234,442.39999999999998,0.021385519188220035,442.39999999999998,0.022196748132889129
443.10000000000002,0.019830963946322153,443.10000000000002,0.024872799098022265,443.10000000000002,0.020507532022752895,443.10000000000002,0.02151861176809677,443.10000000000002,0.022384095012843011
443.89999999999998,0.020519315378550902,443.89999999999998,0.025540805167722086,443.89999999999998,0.02103312055475022,443.89999999999998,0.021909412273339944,443.89999999999998,0.022744377474292792
444.60000000000002,0.020576960572382865,444.60000000000002,0.026351228775124406,444.60000000000002,0.021239965073794331,444.60000000000002,0.022701185965090753,444.60000000000002,0.02369382772564279
445.39999999999998,0.020560853827047462,445.39999999999998,0.026185074981138156,445.39999999999998,0.021655349558759952,445.39999999999998,0.023351389842577758,445.39999999999998,0.024150750659104981
446.10000000000002,0.020475233759738226,446.10000000000002,0.026794588133567308,446.10000000000002,0.022001220721751737,446.10000000000002,0.023963446165323025,446.10000000000002,0.024762806981850249
446.89999999999998,0.021010994973000015,446.89999999999998,0.027049752888617624,446.89999999999998,0.022392021226994904,446.89999999999998,0.024431389503488384,446.89999999999998,0.025462178818782166
447.60000000000002,0.02166543746768055,447.60000000000002,0.028250129277824408,447.60000000000002,0.023156667768707138,447.60000000000002,0.024817951391538022,447.60000000000002,0.026254800233971674
448.39999999999998,0.021811245899137872,448.39999999999998,0.02910972084467164,448.39999999999998,0.023567813636479234,448.39999999999998,0.025014623229317665,448.39999999999998,0.026836338512923549
449.10000000000002,0.021938404414943671,449.10000000000002,0.029942185261480302,449.10000000000002,0.024184956299856734,449.10000000000002,0.025413900968947887,449.10000000000002,0.027240702593186002
449.89999999999998,0.021717148597441574,449.89999999999998,0.030263472444749629,449.89999999999998,0.024372303179810623,449.89999999999998,0.025779269771029897,449.89999999999998,0.027395835982469079
450.60000000000002,0.02275730525673305,450.60000000000002,0.030901808194094764,450.60000000000002,0.024831769283588927,450.60000000000002,0.026411671456304093,450.60000000000002,0.02854111034816002
451.39999999999998,0.022823427684952064,451.39999999999998,0.031195120503886814,451.39999999999998,0.024897891711807944,451.39999999999998,0.026721938234870252,451.39999999999998,0.028563998881005064
452.10000000000002,0.023084526504073319,452.10000000000002,0.031432483066724311,452.10000000000002,0.024876698625840309,452.10000000000002,0.02716784076362927,452.10000000000002,0.029159948458414933
452.89999999999998,0.022552156184566352,452.89999999999998,0.031865669743902758,452.89999999999998,0.024780058153827899,452.89999999999998,0.027725642786297394,452.89999999999998,0.028897154192416272
453.60000000000002,0.022653035273772288,453.60000000000002,0.032327679017997178,453.60000000000002,0.02512592931681969,453.60000000000002,0.027905360155302927,453.60000000000002,0.029937310851707741
454.39999999999998,0.023069267482176619,454.39999999999998,0.033100802794096461,454.39999999999998,0.025593024931546339,454.39999999999998,0.027935030475657617,454.39999999999998,0.03035947712418301
455.10000000000002,0.023315107279401167,455.10000000000002,0.033277129269347172,455.10000000000002,0.026012648033705489,455.10000000000002,0.027966396242889713,455.10000000000002,0.030406101913311803
455.89999999999998,0.023755075744089249,455.89999999999998,0.033772199757551101,455.89999999999998,0.026311046684129775,455.89999999999998,0.028070666225850478,455.89999999999998,0.030297593313157518
456.60000000000002,0.023566881140696657,456.60000000000002,0.033735747649686766,456.60000000000002,0.026230512957452767,456.60000000000002,0.028258860829243067,456.60000000000002,0.030145850817629261
457.39999999999998,0.02365504437832202,457.39999999999998,0.033710315946525606,457.39999999999998,0.025899053092918969,457.39999999999998,0.027927400964709269,457.39999999999998,0.030133982689487387
458.10000000000002,0.023693191933063761,458.10000000000002,0.033167772945754181,458.10000000000002,0.025854123750667587,458.10000000000002,0.028059645821147308,458.10000000000002,0.02956261709179998
458.89999999999998,0.023975483838152643,458.89999999999998,0.032771038376440069,458.89999999999998,0.025370921390605532,458.89999999999998,0.027647652229936502,458.89999999999998,0.029413417766587832
459.60000000000002,0.023758466637844072,459.60000000000002,0.032595559624628061,459.60000000000002,0.025435348371947143,459.60000000000002,0.027791765214516411,459.60000000000002,0.029251502589795107
460.39999999999998,0.023129455846324698,460.39999999999998,0.032057255241050159,460.39999999999998,0.024640183786441516,460.39999999999998,0.02768410433780083,460.39999999999998,0.02908534879580886
461.10000000000002,0.022565719759585635,461.10000000000002,0.031229029441435029,461.10000000000002,0.025045395590142676,461.10000000000002,0.027596788823614181,461.10000000000002,0.028396997363580107
461.89999999999998,0.022211371362206793,461.89999999999998,0.030334681213600879,461.89999999999998,0.024655442808338212,461.89999999999998,0.027143256783906812,461.89999999999998,0.028162177971058727
462.60000000000002,0.022287666471690275,462.60000000000002,0.029826894873816373,462.60000000000002,0.024950450565007675,462.60000000000002,0.026483727948594042,462.60000000000002,0.027541644413926404
463.39999999999998,0.022530115375160007,463.39999999999998,0.029893865025474097,463.39999999999998,0.024755474174105445,463.39999999999998,0.026234497257614668,463.39999999999998,0.027767986572060737
464.10000000000002,0.022402109135915504,464.10000000000002,0.029481871434263292,464.10000000000002,0.02476140823817638,464.10000000000002,0.025931859989996857,464.10000000000002,0.027517060434203943
464.89999999999998,0.022266473385722647,464.89999999999998,0.029190254571348648,464.89999999999998,0.024591863550435307,464.89999999999998,0.026000525588531994,464.89999999999998,0.027791722828344481
465.60000000000002,0.021476395140849255,465.60000000000002,0.028351856090469051,465.60000000000002,0.023969634546425575,465.60000000000002,0.025984418843196588,465.60000000000002,0.02677360697845935
466.39999999999998,0.021775641514712243,466.39999999999998,0.028321338046675658,466.39999999999998,0.024057797784050934,466.39999999999998,0.02597509388537083,466.39999999999998,0.026708332273679036
467.10000000000002,0.021460288395513852,467.10000000000002,0.028719768062867176,467.10000000000002,0.023897578054135619,467.10000000000002,0.025715690513126992,467.10000000000002,0.026688834634588814
467.89999999999998,0.021922297669608272,467.89999999999998,0.028771479192628201,467.89999999999998,0.023725490196078433,467.89999999999998,0.024731483600790076,467.89999999999998,0.027081330586709397
468.60000000000002,0.021177996490424969,468.60000000000002,0.028789281384841017,468.60000000000002,0.023264328645422716,468.60000000000002,0.024453430312894719,468.60000000000002,0.026587955545382878
469.39999999999998,0.021567101548790726,469.39999999999998,0.027872044624161818,469.39999999999998,0.022475098123988027,469.39999999999998,0.024077888829548248,469.39999999999998,0.026012351330501941
470.10000000000002,0.021507760908081347,470.10000000000002,0.027727931639581909,470.10000000000002,0.022458143655213925,470.10000000000002,0.024185549706263829,470.10000000000002,0.026014046777379347
470.89999999999998,0.021267007451489031,470.89999999999998,0.02714978425438485,470.89999999999998,0.022317421564388831,470.89999999999998,0.024032111763858156,470.89999999999998,0.02589027915532837
471.60000000000002,0.021272941515559963,471.60000000000002,0.027024321185456463,471.60000000000002,0.023088849893610708,471.60000000000002,0.023599772810118425,471.60000000000002,0.02568173918940685
